task_id,tier,function_name,n_parameters,parameters,return_type,proof_block_nonempty,contains_sorry_in_proof,has_reference_proof_text,original_compiles,original_compile_seconds,original_error_category,has_reference_proof,code_loc,code_aux_loc,proof_loc,proof_aux_loc,precond_is_true,spec_hash,proof_hash,code_has_termination_by,code_has_where,code_has_do,code_has_let_rec,code_first_token,task_has_upstream_axioms
verina_advanced_11,advanced,findMajorityElement,1,"[{""param_name"": ""lst"", ""param_type"": ""List Int""}]",Int,True,True,False,True,1.562,,False,5,2,1,0,True,b93990add5fba6400a0116f9c8100e0d042aeae23bf31b2ecf1aff3112d0d37e,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,False,let,False
verina_advanced_12,advanced,firstDuplicate,1,"[{""param_name"": ""lst"", ""param_type"": ""List Int""}]",Option Int,True,True,False,True,1.563,,False,5,0,1,0,True,81c8dccfbc5c9a28eae822235f1087c7d3cedc916814e844b423fea6bafc952e,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_13,advanced,hasChordIntersection,2,"[{""param_name"": ""N"", ""param_type"": ""Nat""}, {""param_name"": ""chords"", ""param_type"": ""List (List Nat)""}]",Bool,True,True,False,True,1.77,,False,29,0,1,0,False,0253a4324880c0e845d5ca158befe907f561778b6aca9eaca961641d77d26f41,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_14,advanced,ifPowerOfFour,1,"[{""param_name"": ""n"", ""param_type"": ""Nat""}]",Bool,True,True,False,True,1.782,,False,14,0,1,0,True,412892250c4ae602e9dd97b64f92ced3c6372f3c6d2fc0e635adc485a4f67238,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_15,advanced,increasingTriplet,1,"[{""param_name"": ""nums"", ""param_type"": ""List Int""}]",Bool,True,True,False,True,1.589,,False,17,0,1,0,True,f70874c7acc5b758e9c47c3f9ba588a6384ca247526e1117f89ba80b6e774344,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,if,False
verina_advanced_16,advanced,insertionSort,1,"[{""param_name"": ""xs"", ""param_type"": ""List Int""}]",List Int,True,True,False,True,1.539,,False,13,0,1,0,True,dd575e135f8694d7e4b7b238d6806677912db73a587086b7df0f6a2166a678d3,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_17,advanced,insertionSort,1,"[{""param_name"": ""l"", ""param_type"": ""List Int""}]",List Int,True,True,False,True,1.538,,False,2,13,1,0,True,12da64ff5baf459505f1eb5d21128096a69ce05143b53a79d1480a80f656e1e3,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,False,let,False
verina_advanced_18,advanced,isArmstrong,1,"[{""param_name"": ""n"", ""param_type"": ""Nat""}]",Bool,True,True,False,True,1.979,,False,2,7,1,0,True,67aab518dc103923fdfaa9e2e62794c2188ab7385c56fea9415df2696a36fa82,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,False,let,False
verina_advanced_19,advanced,isCleanPalindrome,1,"[{""param_name"": ""s"", ""param_type"": ""String""}]",Bool,True,True,False,True,1.561,,False,2,2,1,0,True,71916228388fac717b7d6fe143cfa1dc9c87981c9fee642c7895f06209ae1057,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,False,let,False
verina_advanced_20,advanced,isItEight,1,"[{""param_name"": ""n"", ""param_type"": ""Int""}]",Bool,True,True,False,True,1.698,,False,7,0,1,0,True,9afb9095bc3ef665cff12b40ec28e25e928309435b28dc409cf23fd6f3752532,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,True,False,False,True,let,False
verina_advanced_21,advanced,isPalindrome,1,"[{""param_name"": ""s"", ""param_type"": ""String""}]",Bool,True,True,False,True,1.821,,False,24,0,1,0,True,1be0f86c07217f451a5b6bcd03442f0f2a864092ffb371d42cbf8b53843688d0,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_22,advanced,isPeakValley,1,"[{""param_name"": ""lst"", ""param_type"": ""List Int""}]",Bool,True,True,False,True,1.592,,False,12,0,1,0,True,973a0f0deceec01a3d35450c6464cfa6c9369476985657157ccd6c8d9eff7213,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_23,advanced,isPowerOfTwo,1,"[{""param_name"": ""n"", ""param_type"": ""Int""}]",Bool,True,True,False,True,1.855,,False,8,0,1,0,True,1f8e33710662f4efeacc3edd42abb8df4d106ba50e23d30a53ef64b4aa473e4f,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,if,False
verina_advanced_24,advanced,lengthOfLIS,1,"[{""param_name"": ""nums"", ""param_type"": ""List Int""}]",Int,True,True,False,True,1.585,,False,8,0,1,0,True,e3ed1fb5b81c5c3d5b08416de2680c8778906badbf1879251f931520ed2efda2,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_25,advanced,lengthOfLIS,1,"[{""param_name"": ""nums"", ""param_type"": ""List Int""}]",Nat,True,True,False,True,6.978,,False,10,2,1,0,True,6aa264058e65b43b72055082433d5669b38371fdcc573606de4c1f4b77f0ff91,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,True,False,if,False
verina_advanced_26,advanced,letterCombinations,1,"[{""param_name"": ""digits"", ""param_type"": ""String""}]",List String,True,True,False,True,1.309,,False,12,0,1,0,True,4613475a30681cbf69f94e6cadf63656d1bfaf7bfaca08e768c8e635300e1204,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,True,False,False,let,False
verina_advanced_27,advanced,longestCommonSubsequence,2,"[{""param_name"": ""s1"", ""param_type"": ""String""}, {""param_name"": ""s2"", ""param_type"": ""String""}]",String,True,True,False,True,1.553,,False,4,16,1,0,True,ccb26a91bdd8b42269f5b681f90e1a58870a8bc2efbabfe992aee6d6e3f77099,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,False,let,False
verina_advanced_28,advanced,longestConsecutive,1,"[{""param_name"": ""nums"", ""param_type"": ""List Int""}]",Nat,True,True,False,False,30.452,unknown_constant_or_identifier,False,17,0,1,0,False,cc515c6bfbcb785adcee22dcbf7a748f18d3d31bcdc60e7e2b9f19b3620a4576,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,True,False,Id.run,False
verina_advanced_29,advanced,longestGoodSubarray,2,"[{""param_name"": ""nums"", ""param_type"": ""List Nat""}, {""param_name"": ""k"", ""param_type"": ""Nat""}]",Nat,True,True,False,True,1.655,,False,22,0,1,0,False,3c75d920cc2ed446fc042f9f699f04804e4802123260f4205c07db788ffe695d,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,True,False,Id.run,False
verina_advanced_30,advanced,longestIncreasingStreak,1,"[{""param_name"": ""nums"", ""param_type"": ""List Int""}]",Nat,True,True,False,True,1.248,,False,10,0,1,0,True,b4f4c145ac748e44e908d8131fc2772d81fcef7e6aadea34f04b538fc5656010,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_31,advanced,longestIncreasingSubseqLength,1,"[{""param_name"": ""xs"", ""param_type"": ""List Int""}]",Nat,True,True,False,True,6.903,,False,3,9,1,0,True,2bca1e4804bacc83c8c9ed5e1dfec6e15fddc53367053af48bfce0bc97e43c6c,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,False,let,False
verina_advanced_32,advanced,longestIncreasingSubsequence,1,"[{""param_name"": ""numbers"", ""param_type"": ""List Int""}]",Nat,True,True,False,True,30.556,,False,24,0,1,0,True,26543b754ceb00d2243dddadcce032441c3d5b5f762fa438b4b4abc01ef5a624,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_33,advanced,longestIncreasingSubsequence,1,"[{""param_name"": ""nums"", ""param_type"": ""List Int""}]",Nat,True,True,False,True,6.892,,False,19,0,1,0,True,a3fc7d59603fd9719beb216567acad4647e8a22e8eaa2b0c803ca1c1849ec6a6,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_34,advanced,longestIncreasingSubsequence,1,"[{""param_name"": ""nums"", ""param_type"": ""List Int""}]",Int,True,True,False,True,7.688,,False,11,12,1,0,True,6aa264058e65b43b72055082433d5669b38371fdcc573606de4c1f4b77f0ff91,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,True,False,Id.run,False
verina_advanced_35,advanced,majorityElement,1,"[{""param_name"": ""nums"", ""param_type"": ""List Int""}]",Int,True,True,False,True,1.404,,False,9,0,1,0,False,fc8168f686f814ddaa01b20a1017e001dfaa38a9d617e3b9b79d416deb1bcbf3,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,True,False,Id.run,False
verina_advanced_36,advanced,majorityElement,1,"[{""param_name"": ""xs"", ""param_type"": ""List Nat""}]",Nat,True,True,False,True,1.211,,False,25,0,1,0,False,b80aa92915d11314acf264a10cfd05b0e4109408aeb70b8741a517bd3369d1fb,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_37,advanced,majorityElement,1,"[{""param_name"": ""nums"", ""param_type"": ""List Int""}]",Int,True,True,False,True,1.205,,False,23,0,1,0,False,28e9dd63380c96ea44027fd528709d95eea6739a80cdc0447df8aae7fab2e0bf,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_38,advanced,maxCoverageAfterRemovingOne,1,"[{""param_name"": ""intervals"", ""param_type"": ""List (Prod Nat Nat)""}]",Nat,True,True,False,True,1.185,,False,14,0,1,0,False,689c99c07eb989726491ad95dde13750624bc9eeb6c9667c39c11265f172ae27,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,False,let,False
verina_advanced_39,advanced,maxOfList,1,"[{""param_name"": ""lst"", ""param_type"": ""List Nat""}]",Nat,True,True,False,True,1.213,,False,8,0,1,0,False,616aa56896f335c830e73a60098246dfb183787af641d4106f5827b123c5a362,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_40,advanced,maxOfList,1,"[{""param_name"": ""lst"", ""param_type"": ""List Nat""}]",Nat,True,True,False,True,1.125,,False,8,0,1,0,False,b74a83f0076006e58827d19676687e65affecca4e8f263fa767be72dce141015,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_41,advanced,maxOfThree,3,"[{""param_name"": ""a"", ""param_type"": ""Int""}, {""param_name"": ""b"", ""param_type"": ""Int""}, {""param_name"": ""c"", ""param_type"": ""Int""}]",Int,True,True,False,True,1.097,,False,3,0,1,0,True,29128d6527435b82d1289774bfcd553408b4defe3af053982c1b9111688cb50a,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,False,if,False
verina_advanced_42,advanced,maxProfit,1,"[{""param_name"": ""prices"", ""param_type"": ""List Nat""}]",Nat,True,True,False,True,1.225,,False,3,11,1,0,True,26a6658b65191774cb04ba48f2b16203927b8f9a904faa738c61cdc84403c158,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,False,match,False
verina_advanced_43,advanced,maxStrength,1,"[{""param_name"": ""nums"", ""param_type"": ""List Int""}]",Int,True,True,False,True,30.783,,False,14,0,1,0,False,5c7dcb352e93f0204b74c831dd65df144972103668928cc33864ea38a6dfd260,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,False,let,False
verina_advanced_44,advanced,maxSubarraySumDivisibleByK,2,"[{""param_name"": ""arr"", ""param_type"": ""Array Int""}, {""param_name"": ""k"", ""param_type"": ""Int""}]",Int,True,True,False,True,1.236,,False,22,0,1,0,False,4260b0da6869748b1d9ce6aa1b1b64de458aab29e0c78974d0ed0a2bd13c1a11,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,True,False,let,False
verina_advanced_45,advanced,maxSubarraySum,1,"[{""param_name"": ""xs"", ""param_type"": ""List Int""}]",Int,True,True,False,True,1.026,,False,10,0,1,0,True,f5eb42c2d9b4ccbd6861b9e1fc981cad9b5282afb536e66e51c614978541bc59,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_46,advanced,maxSubarraySum,1,"[{""param_name"": ""numbers"", ""param_type"": ""List Int""}]",Int,True,True,False,True,1.129,,False,24,0,1,0,True,e165e648b443f13c79e73ed2ca118c2c469b20f7c00dcc986d4e4232f3b51f65,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_47,advanced,mergeIntervals,1,"[{""param_name"": ""intervals"", ""param_type"": ""List (Prod Int Int)""}]",List (Prod Int Int),True,True,False,True,1.096,,False,19,0,1,0,False,ebf8be79b062171aa4b31790f94b0079551520672b6987ccc02c4c18bf68cde3,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,--,False
verina_advanced_48,advanced,mergeSort,1,"[{""param_name"": ""list"", ""param_type"": ""List Int""}]",List Int,True,True,False,True,1.119,,False,17,0,1,0,True,8dad6358bba8bbbbe612e0e6184f963d8a75eee7147aa933f38a5a989063bbe3,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,True,False,False,True,--,False
verina_advanced_49,advanced,mergeSortedLists,2,"[{""param_name"": ""arr1"", ""param_type"": ""List Int""}, {""param_name"": ""arr2"", ""param_type"": ""List Int""}]",List Int,True,True,False,True,1.303,,False,10,0,1,0,False,25b45637259451c8cd746651a07c322d3d96c328172671a9b699acf847017032,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_50,advanced,mergeSorted,2,"[{""param_name"": ""a1"", ""param_type"": ""Array Nat""}, {""param_name"": ""a2"", ""param_type"": ""Array Nat""}]",Array Nat,True,True,False,True,1.446,,False,4,15,1,0,False,644c64864cde2fc193389d1d1a6d01ccceaab44dbba7b3d2064edc80ef3ba3b6,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,False,let,False
verina_advanced_51,advanced,mergeSorted,2,"[{""param_name"": ""a"", ""param_type"": ""List Int""}, {""param_name"": ""b"", ""param_type"": ""List Int""}]",List Int,True,True,False,True,1.357,,False,2,10,1,0,False,843663c63149aa83c8013095d43e09824b15a5835b6dd79fc36c5e74fa2d3a2e,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,False,let,False
verina_advanced_52,advanced,minOperations,2,"[{""param_name"": ""nums"", ""param_type"": ""List Nat""}, {""param_name"": ""k"", ""param_type"": ""Nat""}]",Nat,True,True,False,True,1.117,,False,16,0,1,0,False,065ae21f0ef5e0b77e6bbc9f799b0917574fee1b5c5afe7036ee086a6531484c,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,--,False
verina_advanced_53,advanced,minimumRightShifts,1,"[{""param_name"": ""nums"", ""param_type"": ""List Int""}]",Int,True,True,False,True,1.174,,False,21,0,1,0,False,50ee6dd174e25e9b89ee8901e9f2dcfad02d77ee40d956e81aa7d5b7a717e38c,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,True,False,False,True,let,False
verina_advanced_54,advanced,missingNumber,1,"[{""param_name"": ""nums"", ""param_type"": ""List Nat""}]",Nat,True,True,False,True,1.003,,False,4,0,1,0,False,565732aed6b41539a7cac457b99a596262ff96dec71fbc9ef1ec5dd6dc84abcf,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,False,let,False
verina_advanced_55,advanced,mostFrequent,1,"[{""param_name"": ""xs"", ""param_type"": ""List Int""}]",Int,True,True,False,False,1.138,unknown_constant_or_identifier,False,4,19,1,0,False,8047de1a7682dcbc85460d47df568ea257eb0c0bae509d2f22638240ae47f1bc,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,False,let,False
verina_advanced_56,advanced,moveZeroes,1,"[{""param_name"": ""xs"", ""param_type"": ""List Int""}]",List Int,True,True,False,True,1.058,,False,3,0,1,0,True,80714562674237874796b53c1bd918c90b27f934975edd95b2071c0234e5b4e5,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,False,let,False
verina_advanced_57,advanced,nextGreaterElement,2,"[{""param_name"": ""nums1"", ""param_type"": ""List Int""}, {""param_name"": ""nums2"", ""param_type"": ""List Int""}]",List Int,True,True,False,True,1.353,,False,38,0,1,0,False,2169443f93df3b7b2589ea9fc39adb4bbe6088f2237f051373fab4a60a9a0b9d,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,True,False,False,True,let,False
verina_advanced_58,advanced,nthUglyNumber,1,"[{""param_name"": ""n"", ""param_type"": ""Nat""}]",Nat,True,True,False,True,1.126,,False,7,9,1,0,False,4cc03b4122ae03585008eabc50147308bd033c119d960f7f515bf33328279a5f,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_59,advanced,palindromeIgnoreNonAlnum,1,"[{""param_name"": ""s"", ""param_type"": ""String""}]",Bool,True,True,False,True,1.198,,False,14,0,1,0,True,d8ed1b8085d1e3cabd71af7b26c6cf1920ba86980f29c06db23428ed782b488e,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_60,advanced,partitionEvensOdds,1,"[{""param_name"": ""nums"", ""param_type"": ""List Nat""}]",(List Nat × List Nat),True,True,False,True,0.943,,False,8,0,1,0,True,740c795a8c3017136017f0f9f97791125b96d1e5f44d345f63595bf04422e27c,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_61,advanced,productExceptSelf,1,"[{""param_name"": ""nums"", ""param_type"": ""List Int""}]",List Int,True,True,False,True,0.957,,False,6,5,1,0,True,8b896161dc33edf1a14787f78fe7cc0eb9927845a02a9db054ddfb10f622cb4b,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,False,let,False
verina_advanced_62,advanced,rain,1,"[{""param_name"": ""heights"", ""param_type"": ""List (Int)""}]",Int,True,True,False,True,1.655,,False,15,0,1,0,False,25a832c2f115059ce11dcd01fff65b8f7f076dd4e7ce0c2dbd50df4ff9fafed9,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,True,False,False,True,--,False
verina_advanced_63,advanced,removeDuplicates,1,"[{""param_name"": ""nums"", ""param_type"": ""List Int""}]",Nat,True,True,False,True,0.909,,False,18,0,1,0,False,a0c6d40d228553129b2fe23ee77ae736d3e9a80f31b794a2bed77fcba4123771,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,match,False
verina_advanced_64,advanced,removeElement,2,"[{""param_name"": ""lst"", ""param_type"": ""List Nat""}, {""param_name"": ""target"", ""param_type"": ""Nat""}]",List Nat,True,True,False,True,0.926,,False,7,0,1,0,True,b30f6f5f092233164fe56d68fd6bf8b0d4eabc2b2509b405c4a308345fcf4b53,871df16531be52eb4e62ac18634f3b8efb37b0c5a537ef3c81c8e2d6c43b82c2,False,False,False,True,let,False
verina_advanced_65,advanced,reverseString,1,"[{""param_name"": ""s"", ""param_type"": ""String""}]",String,True,True,False,True,0.915,,False,5,0,1,0,True,9a50d40b8dd2d9348f28c584f5670a314a022bcdf3fe40e8ebf6f75498c2f773,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_66,advanced,reverseWords,1,"[{""param_name"": ""words_str"", ""param_type"": ""String""}]",String,True,True,False,True,0.944,,False,19,0,1,0,True,8d04a51c9d9cd0f0bbea05553a6291c24ef7077d758b302d005751de769b1555,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_67,advanced,runLengthEncode,1,"[{""param_name"": ""s"", ""param_type"": ""String""}]",List (Char × Nat),True,True,False,True,1.046,,False,15,0,1,0,True,cb3af1571cd4fe5a8a7351ce06627bb5f1d6a5805e44177ba031cfb7938b66ed,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_68,advanced,runLengthEncoder,1,"[{""param_name"": ""input"", ""param_type"": ""String""}]",String,True,True,False,True,1.285,,False,30,0,1,0,False,242e478ffbb838ab80e14bf8857f91736163732d4ddd19eebd1d416f8368d358,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,--,False
verina_advanced_69,advanced,searchInsert,2,"[{""param_name"": ""xs"", ""param_type"": ""List Int""}, {""param_name"": ""target"", ""param_type"": ""Int""}]",Nat,True,True,False,True,0.947,,False,23,0,1,0,False,4f41b529f4673e10255b26685a8b36fd2e2fc485490f20c698df30d2f0b8ec04,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,match,False
verina_advanced_70,advanced,semiOrderedPermutation,1,"[{""param_name"": ""nums"", ""param_type"": ""List Int""}]",Int,True,True,False,True,1.003,,False,15,0,1,0,False,686574e8a68bedab21fbf16fc5d9c19285ee97486bb9a2e9f4835acfd459308f,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,False,let,False
verina_advanced_71,advanced,shortestBeautifulSubstring,2,"[{""param_name"": ""s"", ""param_type"": ""String""}, {""param_name"": ""k"", ""param_type"": ""Nat""}]",String,True,True,False,True,1.065,,False,11,9,1,0,False,6f1480d29376a0414ca8603ffa2d9b3fea89c82a401d8ad0f3a22fc342e3057e,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,False,let,False
verina_advanced_72,advanced,singleDigitPrimeFactor,1,"[{""param_name"": ""n"", ""param_type"": ""Nat""}]",Nat,True,True,False,True,1.055,,False,6,0,1,0,True,e0563bc17c780adced024f4e033259a05dd73876e0993169d48b01664df09d28,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,False,if,False
