variant_id,task_id,category,certified,certificate_level,failure_category,operator,lhs,rhs,n_eligible_occurrences,code_loc,code_tokens,recursive,self_recursive,has_let_rec,has_where,def_level_termination,n_nested_helpers,code_aux_nonempty,has_reference_proof,reference_proof_loc
verina_advanced_70__T3_comm_swap__0,verina_advanced_70,advanced,True,simp_only,,+,distanceOne,distanceLast,1,15,103,False,False,False,False,False,0,False,False,
verina_advanced_73__T3_comm_swap__0,verina_advanced_73,advanced,False,,tactic_failed,+,n,1,1,16,81,True,False,True,False,False,1,False,False,
verina_advanced_75__T3_comm_swap__0,verina_advanced_75,advanced,True,simp_only,,+,cur,x,2,11,107,False,False,False,False,False,0,False,False,
verina_advanced_75__T3_comm_swap__1,verina_advanced_75,advanced,True,simp_only,,+,cur,x,2,11,107,False,False,False,False,False,0,False,False,
verina_advanced_76__T3_comm_swap__0,verina_advanced_76,advanced,True,simp_only,,+,cnt,1,1,19,231,True,False,True,False,False,1,False,False,
verina_advanced_79__T3_comm_swap__0,verina_advanced_79,advanced,False,,tactic_failed,+,x,y,4,22,121,True,False,True,False,False,1,False,False,
verina_advanced_79__T3_comm_swap__1,verina_advanced_79,advanced,False,,tactic_failed,+,i,1,4,22,121,True,False,True,False,False,1,False,False,
verina_advanced_79__T3_comm_swap__2,verina_advanced_79,advanced,False,,tactic_failed,+,i,1,4,22,121,True,False,True,False,False,1,False,False,
verina_advanced_8__T3_comm_swap__0,verina_advanced_8,advanced,True,rfl_nosmart,,+,tank,gi,8,26,223,True,False,True,False,False,1,False,False,
verina_advanced_8__T3_comm_swap__1,verina_advanced_8,advanced,True,rfl_nosmart,,+,idx,1,8,26,223,True,False,True,False,False,1,False,False,
verina_advanced_8__T3_comm_swap__2,verina_advanced_8,advanced,False,,tactic_failed,+,i,1,8,26,223,True,False,True,False,False,1,False,False,
verina_advanced_80__T3_comm_swap__0,verina_advanced_80,advanced,False,,tactic_failed,+,i,2,4,14,131,True,False,True,False,False,1,False,False,
verina_advanced_80__T3_comm_swap__1,verina_advanced_80,advanced,False,,tactic_failed,+,nums[i]!,nums[j]!,4,14,131,True,False,True,False,False,1,False,False,
verina_advanced_80__T3_comm_swap__2,verina_advanced_80,advanced,False,,tactic_failed,+,j,1,4,14,131,True,False,True,False,False,1,False,False,
verina_advanced_9__T3_comm_swap__0,verina_advanced_9,advanced,False,,tactic_failed,+,acc,1,1,7,43,True,False,True,False,False,2,True,False,
verina_basic_1__T3_comm_swap__0,verina_basic_1,basic,True,simp_only,,*,a,b,1,1,4,False,False,False,False,False,0,False,True,15.0
verina_basic_100__T3_comm_swap__0,verina_basic_100,basic,True,simp_only,,*,2,x,2,3,14,False,False,False,False,False,0,False,True,8.0
verina_basic_100__T3_comm_swap__1,verina_basic_100,basic,True,simp_only,,+,x,y,2,3,14,False,False,False,False,False,0,False,True,8.0
verina_basic_101__T3_comm_swap__0,verina_basic_101,basic,True,simp_only,,*,x,2,2,2,9,False,False,False,False,False,0,False,True,5.0
verina_basic_101__T3_comm_swap__1,verina_basic_101,basic,True,simp_only,,+,y,x,2,2,9,False,False,False,False,False,0,False,True,5.0
verina_basic_102__T3_comm_swap__0,verina_basic_102,basic,False,,tactic_failed,+,nums[i]!,nums[j]!,4,19,125,True,True,True,False,False,1,False,False,
verina_basic_102__T3_comm_swap__1,verina_basic_102,basic,False,,tactic_failed,+,i,1,4,19,125,True,True,True,False,False,1,False,False,
verina_basic_102__T3_comm_swap__2,verina_basic_102,basic,False,,tactic_failed,+,i,1,4,19,125,True,True,True,False,False,1,False,False,
verina_basic_103__T3_comm_swap__0,verina_basic_103,basic,True,simp_only,,+,(a[4]!),3,1,3,22,False,False,False,False,False,0,False,False,
verina_basic_106__T3_comm_swap__0,verina_basic_106,basic,False,,tactic_failed,+,a[i]!,b[i]!,2,11,82,True,False,True,False,False,1,False,False,
verina_basic_106__T3_comm_swap__1,verina_basic_106,basic,False,,tactic_failed,+,i,1,2,11,82,True,False,True,False,False,1,False,False,
verina_basic_107__T3_comm_swap__0,verina_basic_107,basic,True,simp_only,,+,a,b,1,1,6,False,False,False,False,False,0,False,False,
verina_basic_12__T3_comm_swap__0,verina_basic_12,basic,True,simp_only,,*,6,size,1,1,4,False,False,False,False,False,0,False,True,2.0
verina_basic_19__T3_comm_swap__0,verina_basic_19,basic,True,simp_only,,+,i,1,1,8,39,False,False,False,False,False,0,False,True,13.0
verina_basic_20__T3_comm_swap__0,verina_basic_20,basic,False,,tactic_failed,+,i,1,3,10,67,True,False,True,False,False,1,False,False,
verina_basic_20__T3_comm_swap__1,verina_basic_20,basic,False,,tactic_failed,+,i,1,3,10,67,True,False,True,False,False,1,False,False,
verina_basic_20__T3_comm_swap__2,verina_basic_20,basic,False,,tactic_failed,*,product,x,3,10,67,True,False,True,False,False,1,False,False,
verina_basic_21__T3_comm_swap__0,verina_basic_21,basic,False,,tactic_failed,+,i,subLen,3,16,69,True,False,True,False,False,1,False,False,
verina_basic_21__T3_comm_swap__1,verina_basic_21,basic,False,,tactic_failed,+,i,1,3,16,69,True,False,True,False,False,1,False,False,
verina_basic_21__T3_comm_swap__2,verina_basic_21,basic,False,,tactic_failed,+,i,1,3,16,69,True,False,True,False,False,1,False,False,
verina_basic_23__T3_comm_swap__0,verina_basic_23,basic,False,,tactic_failed,+,i,1,1,9,80,True,False,True,False,False,1,False,False,
verina_basic_24__T3_comm_swap__0,verina_basic_24,basic,False,,tactic_failed,+,i,1,1,11,119,True,False,True,False,False,1,False,False,
verina_basic_25__T3_comm_swap__0,verina_basic_25,basic,True,simp_only,,+,n,1,1,5,38,False,False,False,False,False,0,False,False,
verina_basic_27__T3_comm_swap__0,verina_basic_27,basic,False,,tactic_failed,+,i,1,1,11,74,True,False,True,False,False,1,False,False,
verina_basic_28__T3_comm_swap__0,verina_basic_28,basic,False,,tactic_failed,+,i,1,1,7,56,True,False,True,False,False,1,False,False,
verina_basic_33__T3_comm_swap__0,verina_basic_33,basic,False,,tactic_failed,+,v,1,1,8,58,True,False,True,False,False,1,False,False,
verina_basic_37__T3_comm_swap__0,verina_basic_37,basic,False,,tactic_failed,+,i,1,1,8,48,True,False,True,False,False,1,False,False,
verina_basic_41__T3_comm_swap__0,verina_basic_41,basic,False,,tactic_failed,+,i,1,1,10,52,True,False,True,False,False,1,False,False,
verina_basic_43__T3_comm_swap__0,verina_basic_43,basic,False,,tactic_failed,*,2,n,1,6,29,True,True,False,False,False,0,False,False,
verina_basic_45__T3_comm_swap__0,verina_basic_45,basic,True,simp_only,,*,lst[ei]!,lst[oi]!,1,3,28,False,False,False,False,False,0,False,True,12.0
verina_basic_46__T3_comm_swap__0,verina_basic_46,basic,False,,tactic_failed,+,i,1,2,7,55,True,False,True,False,False,1,False,False,
verina_basic_46__T3_comm_swap__1,verina_basic_46,basic,False,,tactic_failed,+,i,1,2,7,55,True,False,True,False,False,1,False,False,
verina_basic_48__T3_comm_swap__0,verina_basic_48,basic,False,,tactic_failed,+,x,1,1,10,61,True,False,True,False,False,1,False,True,39.0
verina_basic_5__T3_comm_swap__0,verina_basic_5,basic,True,simp_only,,*,a,b,1,1,3,False,False,False,False,False,0,False,True,2.0
verina_basic_59__T3_comm_swap__0,verina_basic_59,basic,True,simp_only,,*,2,x,2,3,17,False,False,False,False,False,0,False,False,
verina_basic_59__T3_comm_swap__1,verina_basic_59,basic,True,simp_only,,*,2,a,2,3,17,False,False,False,False,False,0,False,False,
verina_basic_60__T3_comm_swap__0,verina_basic_60,basic,False,,tactic_failed,+,i,1,2,9,56,True,False,True,False,False,1,False,False,
verina_basic_60__T3_comm_swap__1,verina_basic_60,basic,False,,tactic_failed,+,i,1,2,9,56,True,False,True,False,False,1,False,False,
verina_basic_62__T3_comm_swap__0,verina_basic_62,basic,False,,tactic_failed,+,index,1,1,6,37,True,False,True,False,False,1,False,False,
verina_basic_63__T3_comm_swap__0,verina_basic_63,basic,False,,tactic_failed,+,idx2,1,2,15,87,True,False,True,False,False,1,False,False,
verina_basic_63__T3_comm_swap__1,verina_basic_63,basic,False,,tactic_failed,+,idx,1,2,15,87,True,False,True,False,False,1,False,False,
verina_basic_64__T3_comm_swap__0,verina_basic_64,basic,True,simp_only,,+,l,p,3,17,117,False,False,False,False,False,0,False,False,
verina_basic_64__T3_comm_swap__1,verina_basic_64,basic,True,simp_only,,+,atPos,i,3,17,117,False,False,False,False,False,0,False,False,
verina_basic_64__T3_comm_swap__2,verina_basic_64,basic,True,simp_only,,+,i,p,3,17,117,False,False,False,False,False,0,False,False,
verina_basic_65__T3_comm_swap__0,verina_basic_65,basic,False,,tactic_failed,+,r,1,3,8,48,True,False,True,False,False,1,False,False,
verina_basic_65__T3_comm_swap__1,verina_basic_65,basic,False,,tactic_failed,+,r,1,3,8,48,True,False,True,False,False,1,False,False,
verina_basic_65__T3_comm_swap__2,verina_basic_65,basic,False,,tactic_failed,+,r,1,3,8,48,True,False,True,False,False,1,False,False,
verina_basic_68__T3_comm_swap__0,verina_basic_68,basic,False,,tactic_failed,+,n,1,1,6,36,True,False,True,False,False,1,False,True,164.0
verina_basic_70__T3_comm_swap__0,verina_basic_70,basic,False,,tactic_failed,+,n,1,1,6,36,True,False,True,False,False,1,False,False,
verina_basic_71__T3_comm_swap__0,verina_basic_71,basic,False,,tactic_failed,+,idx,1,1,10,84,True,False,True,False,False,1,False,False,
verina_basic_73__T3_comm_swap__0,verina_basic_73,basic,False,,tactic_failed,∧,(sList[i]! ≠ pList[i]!),(pList[i]! ≠ '?'),2,8,64,True,False,True,False,False,1,False,False,
verina_basic_73__T3_comm_swap__1,verina_basic_73,basic,False,,tactic_failed,+,i,1,2,8,64,True,False,True,False,False,1,False,False,
verina_basic_78__T3_comm_swap__0,verina_basic_78,basic,True,simp_only,,+,x,y,1,3,19,False,False,False,False,False,0,False,True,2.0
verina_basic_83__T3_comm_swap__0,verina_basic_83,basic,True,simp_only,,+,a.size,b.size,2,8,71,True,False,True,False,False,1,False,False,
verina_basic_83__T3_comm_swap__1,verina_basic_83,basic,False,,tactic_failed,+,i,1,2,8,71,True,False,True,False,False,1,False,False,
verina_basic_90__T3_comm_swap__0,verina_basic_90,basic,False,,tactic_failed,+,m,1,2,11,126,True,False,True,False,False,1,False,False,
verina_basic_90__T3_comm_swap__1,verina_basic_90,basic,True,simp_only,,+,rows,cols,2,11,126,True,False,True,False,False,1,False,False,
verina_basic_92__T3_comm_swap__0,verina_basic_92,basic,True,simp_only,,+,y2,x2,1,6,36,False,False,False,False,False,0,False,True,5.0
verina_basic_94__T3_comm_swap__0,verina_basic_94,basic,False,,tactic_failed,+,i,1,1,8,64,True,False,True,False,False,1,False,False,
verina_basic_98__T3_comm_swap__0,verina_basic_98,basic,True,simp_only,,*,x,3,1,1,2,False,False,False,False,False,0,False,True,2.0
verina_basic_99__T3_comm_swap__0,verina_basic_99,basic,True,simp_only,,*,2,x,5,7,32,False,False,False,False,False,0,False,True,14.0
verina_basic_99__T3_comm_swap__1,verina_basic_99,basic,True,simp_only,,*,4,x,5,7,32,False,False,False,False,False,0,False,True,14.0
verina_basic_99__T3_comm_swap__2,verina_basic_99,basic,True,simp_only,,*,2,x,5,7,32,False,False,False,False,False,0,False,True,14.0
